layer,fold,fold_train,fold_val,k,status,note,n_cells,n_trials,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
cnn_2,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_2,2,1.0,3.0,0.5087953461386595,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_2,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,2,1.0,3.0,0.4896406426498247,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,2,1.0,3.0,0.440413860392759,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,3,2.0,1.0,0.005782528710635179,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,2,1.0,3.0,0.43907438067288473,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,2,1.0,3.0,0.41922202263573344,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,2,1.0,3.0,0.48585765640813056,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,3,2.0,1.0,0.013749131145992365,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,2,1.0,3.0,0.592561040033954,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,2,1.0,3.0,0.6158646090694833,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,2,1.0,3.0,0.6774178684891912,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,2,1.0,3.0,0.7303442707178267,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,2,1.0,3.0,1.0112267994344737,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,2,1.0,3.0,1.2057235479592752,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,2,1.0,3.0,1.0725799196379306,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,3,2.0,1.0,0.0010042533812169385,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,1,3.0,2.0,0.0010038118823509747,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,2,1.0,3.0,0.0010044974129350727,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,2,1.0,3.0,0.001005477979857628,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,3,2.0,1.0,1.003479215626686,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,1,3.0,2.0,0.001007034434817863,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,2,1.0,3.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,3,2.0,1.0,1.4732627104680778,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,2,1.0,3.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,3,2.0,1.0,1.7047841710141551,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,2,1.0,3.0,0.001003910044876774,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,3,2.0,1.0,0.0010042301595867245,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
behavioral_ceiling,1,,,,,,540.0,20930.0,True,False,0.0,,,-1675.14052601127,0.13
behavioral_ceiling,2,,,,,,540.0,20930.0,True,False,0.0,,,-1718.83369970769,0.1
behavioral_ceiling,3,,,,,,540.0,20930.0,True,False,0.0,,,-1575.31100293699,0.1
