dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials
B23,ft,hubert_tsne_3d,cnn_2,between_type_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,321.211623990342,61.4619871651664,7.32969703737813,0.88713950217129,0.277554876306756,0.0378671689827495,2.30673601498486e-13,0.0453632665649099,0.0511343102791416,0.375003798839796,-0.0815060552641638,-0.082300294065115,0.0097445373644578,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_phoneme,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,321.211623990342,61.4619871651664,4.27870095586654,5.07353332385562,0.160320875429976,0.0374695210260392,1.87987223686715e-05,0.263007878060721,0.0518391939645029,3.90496051866448e-07,-0.0818989912497922,-0.0856015500776045,0.0452088453265498,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_phoneme,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,321.211623990342,61.4619871651664,4.19167141264992,5.25857200157857,0.152496388176971,0.0363808068821322,2.76906854988099e-05,0.291984109783792,0.0555253611999876,1.45178342027992e-07,-0.0808935482341223,-0.0811623337756517,0.0033227067843712,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_sentence,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,33.124985692712,5.70082823746845,5.57788868904608,1.84747259446711,0.205471813034569,0.0368368435601945,2.43455350537545e-08,0.0943594855237904,0.051074904064278,0.0646786764739264,-0.0821377192011839,-0.0821555467178882,0.0002170442140062,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_sentence,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,33.124985692712,5.70082823746845,1.75993867001517,7.14010945207302,0.0643727327030176,0.0365766908812014,0.0784182058021043,0.369065760563698,0.0516890900680165,9.32566317978518e-13,-0.0823201849617021,-0.0842059691116085,0.0229079192519266,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_sentence,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,33.124985692712,5.70082823746845,6.32651202565702,0.840383307070673,0.229622612169962,0.0362952937161478,2.50764765982518e-10,0.0444420155884642,0.0528830299394878,0.400693505591649,-0.0802729828717303,-0.0826531477638641,0.029650883858858,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,137.455324309681,21.4007562745874,5.79816029071929,0.352759614682222,0.215383436533711,0.0371468579229279,6.7046353187124805e-09,0.018034707432802,0.0511246375213566,0.724268662583631,-0.0820661517290549,-0.0823368457700024,0.0032984858585939,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,137.455324309681,21.4007562745874,1.65135820437681,6.0915682844795,0.0607489748236028,0.0367872788972082,0.0986654538564954,0.316047298037263,0.0518827473119704,1.11809873956397e-09,-0.0823303645504331,-0.0849699599459621,0.0320610191627669,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,between_type_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,137.455324309681,21.4007562745874,4.53012808106591,2.16826654390242,0.164770576946958,0.0363721674086064,5.89479392444796e-06,0.115874201026376,0.0534409394233547,0.0301384123878928,-0.0808118690231526,-0.0824330782199339,0.0200615233427754,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_2,mean_dissimilarity_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,19.2142515702399,1.06218368105923,8.12193696167483,5.97851041151686,0.311123035340501,0.0383065070325717,4.58801631828675e-16,0.307781501429338,0.0514813022381688,2.25187223235341e-09,-0.0811628087332995,-0.0803592453475536,-0.0099006355039582,480,240,18032,9016
