participant_id,condition,fold,split_engine
B23.2003,b_BRP,1,StratifiedKFold
B23.2005,b_TUR,3,StratifiedKFold
B23.2015,b_TUR,3,StratifiedKFold
B23.2029,b_FAR,3,StratifiedKFold
B23.55ea70c37480920010aa9982,b_SPA,1,StratifiedKFold
B23.56ec9fa4f9ffc4000ac1941b,a_control,3,StratifiedKFold
B23.572bcf0d34b25a000edd2cf1,b_FAR,1,StratifiedKFold
B23.57e91ff08dcd2c00014bea18,c_noTUR,1,StratifiedKFold
B23.57fbd14e279ffd000124cc36,b_BRP,3,StratifiedKFold
B23.59042666cd3f250001dcf8f9,c_noFAR,2,StratifiedKFold
B23.590884b2ac756c0001ecb837,a_control,2,StratifiedKFold
B23.598cbe5651049400015fd93b,c_noTUR,1,StratifiedKFold
B23.59c3289b8e6ea10001f7b926,c_noSPA,1,StratifiedKFold
B23.5a0b8d4c7ecfc50001be130d,c_noSPA,3,StratifiedKFold
B23.5a15ef85087f2e0001eaf507,c_noFAR,1,StratifiedKFold
B23.5a8b3fa3b093f80001a80576,c_noTUR,3,StratifiedKFold
B23.5ab85787a3ba7a0001b41428,a_control,2,StratifiedKFold
B23.5ac4c730f69e940001d977e1,b_TUR,3,StratifiedKFold
B23.5aebb2f6aa05510001ff6561,c_noSPA,1,StratifiedKFold
B23.5af1c24d5bbd0b00015eca8b,b_BRP,3,StratifiedKFold
B23.5af529ca222e4d0001878444,b_BRP,1,StratifiedKFold
B23.5afa1dfb3aba4900015f26a6,c_noFAR,3,StratifiedKFold
B23.5b197b8088ee7400012ae154,b_SPA,1,StratifiedKFold
B23.5b9b412a07c6960001614bf6,b_SPA,3,StratifiedKFold
B23.5bbb4682b8653000016779e3,b_FAR,2,StratifiedKFold
B23.5c19d6768e10de0001ff255f,a_control,1,StratifiedKFold
B23.5c223d4a4a7e1f000137e5b9,c_noBRP,3,StratifiedKFold
B23.5c2805401d4eb70001177bfc,b_TUR,1,StratifiedKFold
B23.5c2ff645644d5300010c25f3,b_TUR,1,StratifiedKFold
B23.5c570f52b45c6600010b6d1e,c_noTUR,2,StratifiedKFold
