participant_id,fold,stratum,split_engine
X21.f8b17be6a35f51d7f154ff160f33e71c,3,"set2,set1_Control_3",StratifiedKFold
X21.9c2c7fd165b3aa898e658c3cc81da774,1,"set2,set1_Multi-talker_3",StratifiedKFold
X21.f85defbfc037896d3ff7577f8a288ba9,3,"set2,set1_Single talker_3",StratifiedKFold
X21.448fd7d0cd089e3f9195ebd3f9c39f5a,1,"set2,set1_Talker-specific_4",StratifiedKFold
X21.69decdc1ca270e4f9655741cc96bb91b,1,"set2,set1_Multi-talker_5",StratifiedKFold
X21.6fd6dfe40dd753d7795852052ebef541,3,"set2,set1_Talker-specific_4",StratifiedKFold
X21.643313ae83f041d62efb0f54570821ac,3,"set2,set1_Multi-talker_6",StratifiedKFold
X21.9ed81ed8f97a93609ba9cf98a39bd8bf,1,"set2,set1_Single talker_3",StratifiedKFold
X21.da814bfa96b46299d008d1d010b9e28c,1,"set2,set1_Single talker_5",StratifiedKFold
X21.823314ed0676126bc658df08ced4e0d5,2,"set2,set1_Control_4",StratifiedKFold
X21.29e3173a48c934207b391d026a4a3edb,2,"set2,set1_Talker-specific_4",StratifiedKFold
X21.5e0f9593449b9bd0d7d90f17ef58f707,2,"set2,set1_Single talker_5",StratifiedKFold
X21.4b706490aba187bd10cca9e65a91cfd9,1,"set2,set1_Multi-talker_4",StratifiedKFold
X21.1eacdd6a82b08a5adcb60f3fbc8967fc,2,"set2,set1_Control_5",StratifiedKFold
X21.55b6ae995c0a74001334c2a895f11992,2,"set2,set1_Talker-specific_6",StratifiedKFold
X21.22eb07cb0e8ddc8663987ad4b70e80ea,1,"set2,set1_Single talker_5",StratifiedKFold
X21.e933e4127113efac6d17b9c8ee834f2d,1,"set2,set1_Single talker_4",StratifiedKFold
X21.9b6639228245762d2541ffbf2061cb9c,1,"set2,set1_Multi-talker_3",StratifiedKFold
X21.a7521cc7326de09da1dc147569315926,1,"set2,set1_Talker-specific_5",StratifiedKFold
X21.33d87d8f468a467ec3df0b10651c971a,2,"set2,set1_Single talker_5",StratifiedKFold
X21.85db54cfe518f64200c1c07d84482f91,2,"set2,set1_Single talker_4",StratifiedKFold
X21.0bbb8e1687436e51d59f10e17e061b63,3,"set2,set1_Multi-talker_3",StratifiedKFold
X21.e27d0d3e8773cb5d2921dfe1aba4018a,2,"set2,set1_Multi-talker_3",StratifiedKFold
X21.420026c2a7df0246c709f3f6bfe8b31a,1,"set2,set1_Single talker_6",StratifiedKFold
X21.42bc7968726d6b9bc8522357d33776ff,3,"set2,set1_Talker-specific_3",StratifiedKFold
X21.da25e3cbebab3f75fb98985f47879100,3,"set2,set1_Control_4",StratifiedKFold
X21.1efa44df54c8250082c43d0b09e12853,1,"set2,set1_Talker-specific_5",StratifiedKFold
X21.cf94576436a173e9cab899e732dd61fc,2,"set2,set1_Control_6",StratifiedKFold
X21.9cc509344f8c4b3428e7dd7c0432f5d2,1,"set2,set1_Single talker_5",StratifiedKFold
X21.e287481755f8c6d2779d32907bf15327,2,"set2,set1_Single talker_6",StratifiedKFold
X21.baa572b54a829c59cdfc8bfeea2c6808,1,"set2,set1_Control_4",StratifiedKFold
X21.3be2c7882e36e00c2ed46a8412f3c219,2,"set2,set1_Multi-talker_3",StratifiedKFold
X21.1d03da118b62f9218776009d870e45e4,2,"set2,set1_Control_4",StratifiedKFold
X21.eba1391df3f59af1c36fca869b7cd79b,1,"set2,set1_Single talker_3",StratifiedKFold
X21.c56798f57b96c06b6951f8ee516d7123,1,"set2,set1_Single talker_4",StratifiedKFold
X21.2e2d58024ab7c3cd1300ffbfa25b8e08,2,"set2,set1_Multi-talker_5",StratifiedKFold
X21.fa053e903ff2b1c725a92f0debe139e5,3,"set2,set1_Single talker_5",StratifiedKFold
X21.ecc5671f4ec9f27be695e65cc50b789c,1,"set2,set1_Talker-specific_3",StratifiedKFold
X21.f4b7796317383b61b26393cc8e146abd,2,"set2,set1_Single talker_6",StratifiedKFold
X21.b789a1d9dabb5a7e3269c499d1f1be45,2,"set2,set1_Multi-talker_3",StratifiedKFold
X21.b14a7a9a164c892dc192e0958a258ece,1,"set2,set1_Control_5",StratifiedKFold
X21.e2d889a4a33be2b5ebd672b9df388e5d,1,"set2,set1_Multi-talker_4",StratifiedKFold
X21.5466f612909a9cdc90cde9bf6a120c31,1,"set2,set1_Control_6",StratifiedKFold
X21.c2561f3558002d5808ea95a0e27231c1,3,"set2,set1_Control_5",StratifiedKFold
X21.b8bd3bffd43727cd669d0ff6eb5eb7e3,3,"set2,set1_Multi-talker_3",StratifiedKFold
X21.d138a8070a5cfb8006257725de1de341,2,"set2,set1_Single talker_5",StratifiedKFold
X21.d532bde115f8c12a01965c11bbe0862e,2,"set2,set1_Single talker_4",StratifiedKFold
X21.f46243b7dad41efdd0129493cc2dc9de,1,"set2,set1_Control_4",StratifiedKFold
X21.30194253c1ae61ee1843afa7223b9b02,1,"set2,set1_Multi-talker_6",StratifiedKFold
X21.cae6020405cf1a8fcf5d9d7283f5a291,3,"set2,set1_Multi-talker_3",StratifiedKFold
X21.a21640d8525156f6aaa732f9f3862d74,3,"set2,set1_Single talker_3",StratifiedKFold
X21.f403f5a61d16922bca7be0d38f9baf3f,1,"set2,set1_Talker-specific_3",StratifiedKFold
X21.1be19654bc177f0a1415d383cda4255b,1,"set2,set1_Control_3",StratifiedKFold
X21.7e0b9bf53eabceed6fad387a9c45e3c8,3,"set2,set1_Single talker_3",StratifiedKFold
X21.6c08ba3deec2eb8d1352268acf774576,1,"set2,set1_Single talker_5",StratifiedKFold
X21.2f81a3476d95dec8e93fc5b182a05227,2,"set2,set1_Multi-talker_5",StratifiedKFold
X21.a38a6d14bc9fa799ca22ebfc1d928aba,1,"set2,set1_Control_5",StratifiedKFold
X21.f51aad789c52195f2889b657707cc46e,1,"set2,set1_Control_6",StratifiedKFold
X21.9b3851cb01e721162cc897bc20aaa165,2,"set2,set1_Control_5",StratifiedKFold
