dataset_id,model_variant,representation,layer,fold,type,k,z_train,z_test,poll_train,poll_test
X21,ft,hubert_tsne_3d,cnn_2,0,diagnostic,0.010594974248772664,8.58647305452274,7.983928303925942,-0.23625284469753285,-0.2897733902611654
X21,ft,hubert_tsne_3d,cnn_2,1,diagnostic,0.058763382720754986,8.669591941498412,7.5149687055402,-0.23708666262703684,-0.28104688597287975
X21,ft,hubert_tsne_3d,cnn_2,2,diagnostic,0.04189334317467887,10.292772567292275,4.185141180897375,-0.23728926036384432,-0.2812753708950161
X21,ft,hubert_tsne_3d,cnn_2,0,corrected,0.03708390004806884,8.256477487741044,7.731623786801258,-0.23625617599905185,-0.2897773007107054
X21,ft,hubert_tsne_3d,cnn_2,1,corrected,0.03708390004806884,8.652172923160895,7.522625627787961,-0.23708358157522,-0.28104396416665384
X21,ft,hubert_tsne_3d,cnn_2,2,corrected,0.03708390004806884,10.272180690395869,4.207219856919554,-0.23728890661141988,-0.28127448576245856
X21,ft,hubert_tsne_3d,cnn_3,0,diagnostic,0.0681295752848515,7.694448031780894,7.394449851668651,-0.23668700851289984,-0.2902893195630469
X21,ft,hubert_tsne_3d,cnn_3,1,diagnostic,0.04915711580488988,8.360422943627288,6.937939328764364,-0.23735575761603941,-0.28186030799573686
X21,ft,hubert_tsne_3d,cnn_3,2,diagnostic,0.3488763829517172,9.658591845458902,3.8772068608543417,-0.23785025010226035,-0.281511505264707
X21,ft,hubert_tsne_3d,cnn_3,0,corrected,0.15538769134715286,7.672211092237714,7.396099818833592,-0.23669248980098823,-0.2902670554844292
X21,ft,hubert_tsne_3d,cnn_3,1,corrected,0.15538769134715286,8.318023742415482,6.947112735435987,-0.2373646596571906,-0.2818255307991564
X21,ft,hubert_tsne_3d,cnn_3,2,corrected,0.15538769134715286,9.645494455491985,3.971985411090292,-0.2378833783668508,-0.2814442683933025
X21,ft,hubert_tsne_3d,cnn_4,0,diagnostic,0.025599330071383625,7.37520399677738,7.2817348880785016,-0.23697214655344692,-0.2905241034227158
X21,ft,hubert_tsne_3d,cnn_4,1,diagnostic,0.022555877181084493,8.1456079939784,6.796949279033571,-0.23758459598544515,-0.28213780900647834
X21,ft,hubert_tsne_3d,cnn_4,2,diagnostic,0.26179554469345373,9.436554125909808,3.6101231083666305,-0.23806788493919417,-0.2817030979418855
X21,ft,hubert_tsne_3d,cnn_4,0,corrected,0.10331691731530729,7.2920773112800426,7.219372665960596,-0.23697219790898755,-0.2905111783651443
X21,ft,hubert_tsne_3d,cnn_4,1,corrected,0.10331691731530729,8.04269505407729,6.738449662341149,-0.23759409589553435,-0.2821095462683438
X21,ft,hubert_tsne_3d,cnn_4,2,corrected,0.10331691731530729,9.427497140898476,3.6812257899757626,-0.2380937208496908,-0.28165608941601916
X21,ft,hubert_tsne_3d,cnn_5,0,diagnostic,0.6902471237618747,7.034630465296479,7.036730261783713,-0.23714035667251226,-0.29070498061058314
X21,ft,hubert_tsne_3d,cnn_5,1,diagnostic,0.27958135338744766,7.6036468972411475,6.86756315199694,-0.23793056138531302,-0.28193608184362884
X21,ft,hubert_tsne_3d,cnn_5,2,diagnostic,0.4979860458414033,9.441559020737431,3.1609603256303993,-0.2380559802279262,-0.2819892885533592
X21,ft,hubert_tsne_3d,cnn_5,0,corrected,0.48927150766357524,7.027362515517634,7.052674521528549,-0.23715099270599815,-0.290701494837662
X21,ft,hubert_tsne_3d,cnn_5,1,corrected,0.48927150766357524,7.596236745997669,6.8854624977698515,-0.2379249025572173,-0.28189131624739927
X21,ft,hubert_tsne_3d,cnn_5,2,corrected,0.48927150766357524,9.44135324260128,3.1619815333723773,-0.238056738294283,-0.2819887497317314
X21,ft,hubert_tsne_3d,cnn_6,0,diagnostic,0.6115284373796187,7.120325805546029,7.267363914519018,-0.23708110700267174,-0.2903770007953155
X21,ft,hubert_tsne_3d,cnn_6,1,diagnostic,0.04556573790829358,8.065427581315715,6.540573630520716,-0.23761500051035755,-0.28239696079963256
X21,ft,hubert_tsne_3d,cnn_6,2,diagnostic,0.42073783850599444,9.583378616170224,3.3385440913671984,-0.23792604599474668,-0.2818805645357644
X21,ft,hubert_tsne_3d,cnn_6,0,corrected,0.3592773379313023,7.098169584249483,7.32939720470853,-0.23710542399031828,-0.290322885651226
X21,ft,hubert_tsne_3d,cnn_6,1,corrected,0.3592773379313023,7.997048126662169,6.701385693745762,-0.2376265107025433,-0.2821459615600409
X21,ft,hubert_tsne_3d,cnn_6,2,corrected,0.3592773379313023,9.582476438320436,3.3528746620352323,-0.2379332654612967,-0.2818721458512922
X21,ft,hubert_tsne_3d,tr_0,0,diagnostic,0.618378426487273,7.549731699263982,8.001609030343454,-0.23680164853132302,-0.28937524301845213
X21,ft,hubert_tsne_3d,tr_0,1,diagnostic,0.395119082349759,8.336625764483507,7.319332945511168,-0.23738785568282203,-0.2813854858022551
X21,ft,hubert_tsne_3d,tr_0,2,diagnostic,0.5084289616484148,10.33135039276636,3.4867648645511737,-0.23725832915336573,-0.28179266414262605
X21,ft,hubert_tsne_3d,tr_0,0,corrected,0.5073088234951489,7.546249012564792,8.019832082520699,-0.2368091716265733,-0.2893678220558036
X21,ft,hubert_tsne_3d,tr_0,1,corrected,0.5073088234951489,8.330552560907353,7.333916813044621,-0.23738455280566054,-0.28134996116935607
X21,ft,hubert_tsne_3d,tr_0,2,corrected,0.5073088234951489,10.331070292180932,3.4869804983206265,-0.23725848076422465,-0.28179257691378234
X21,ft,hubert_tsne_3d,tr_2,0,diagnostic,0.6708674764894184,8.193094626599901,8.196119797710777,-0.23631546049048885,-0.28912189048579273
X21,ft,hubert_tsne_3d,tr_2,1,diagnostic,0.2689593848640327,8.970001339736148,7.3675955287941095,-0.23688723205779633,-0.28135218385449207
X21,ft,hubert_tsne_3d,tr_2,2,diagnostic,0.7707555189021026,10.454238591116964,4.266118599838555,-0.2371241414539475,-0.28122159062321506
X21,ft,hubert_tsne_3d,tr_2,0,corrected,0.5701941267518512,8.190491158185235,8.21369681298963,-0.23632341515186264,-0.2891151402513525
X21,ft,hubert_tsne_3d,tr_2,1,corrected,0.5701941267518512,8.937564227882794,7.474017573524587,-0.23688408295400104,-0.28115678527290877
X21,ft,hubert_tsne_3d,tr_2,2,corrected,0.5701941267518512,10.441152978885686,4.326253932295334,-0.23716432980054658,-0.2811773295962929
X21,ft,hubert_tsne_3d,tr_4,0,diagnostic,0.9245631471510343,8.295466693409162,7.970805767420451,-0.23623401620861495,-0.28949190961756854
X21,ft,hubert_tsne_3d,tr_4,1,diagnostic,0.7168940145844017,8.902465088714226,7.443132164882863,-0.23692363418436022,-0.28121584152548934
X21,ft,hubert_tsne_3d,tr_4,2,diagnostic,1.0396601710038937,10.318871176581181,4.488398360527613,-0.23726698692377576,-0.2810364833369014
X21,ft,hubert_tsne_3d,tr_4,0,corrected,0.8937057775797767,8.295308291356738,7.974200932557619,-0.23623558765221897,-0.2894918427154301
X21,ft,hubert_tsne_3d,tr_4,1,corrected,0.8937057775797767,8.892128303658877,7.468452978715651,-0.23691951826757546,-0.2811584927090116
X21,ft,hubert_tsne_3d,tr_4,2,corrected,0.8937057775797767,10.31425177998776,4.518368679537905,-0.2372867569553208,-0.28101401969599876
X21,ft,hubert_tsne_3d,tr_6,0,diagnostic,0.8852722495652544,8.645403621418303,8.132407635201963,-0.2359661686043483,-0.2892927663251124
X21,ft,hubert_tsne_3d,tr_6,1,diagnostic,0.837814927896755,8.910741720810002,8.019391787522945,-0.23692685788275972,-0.2803900203831892
X21,ft,hubert_tsne_3d,tr_6,2,diagnostic,1.1034600863042003,10.801168307784412,4.399331626481228,-0.23679696738542577,-0.28111551793308687
X21,ft,hubert_tsne_3d,tr_6,0,corrected,0.9421824212554033,8.644725685275066,8.131681525495338,-0.23596323324829474,-0.28928404064126034
X21,ft,hubert_tsne_3d,tr_6,1,corrected,0.9421824212554033,8.907344975337898,8.031055354045732,-0.2369223921995879,-0.2803549968558697
X21,ft,hubert_tsne_3d,tr_6,2,corrected,0.9421824212554033,10.792397861294612,4.4371265047348745,-0.2368260333097323,-0.2810872022768459
X21,ft,hubert_tsne_3d,tr_8,0,diagnostic,1.9547764987645413,7.970347637164015,7.697182130063092,-0.23648234304215995,-0.2898708709025231
X21,ft,hubert_tsne_3d,tr_8,1,diagnostic,1.753465442450436,8.530291987702698,7.246874801670324,-0.23721819676134476,-0.28146568993618726
X21,ft,hubert_tsne_3d,tr_8,2,diagnostic,2.3229235462393514,10.031194910178636,4.141527786131756,-0.23752212394425823,-0.28131554533881903
X21,ft,hubert_tsne_3d,tr_8,0,corrected,2.0103884958181095,7.969776319778341,7.6949008423389875,-0.23648129910532242,-0.2898694373339041
X21,ft,hubert_tsne_3d,tr_8,1,corrected,2.0103884958181095,8.522461359829782,7.2684751850609715,-0.23721539145417475,-0.281417652076993
X21,ft,hubert_tsne_3d,tr_8,2,corrected,2.0103884958181095,10.021854872918237,4.194270308614682,-0.2375482345435727,-0.28127669160297514
X21,ft,hubert_tsne_3d,tr_10,0,diagnostic,2.236957947765227,8.744881688005126,7.90531226918979,-0.2358798645458223,-0.28964559011116126
X21,ft,hubert_tsne_3d,tr_10,1,diagnostic,1.960559116963422,9.019382847277377,7.761666734521238,-0.23684104170966389,-0.2807761059632003
X21,ft,hubert_tsne_3d,tr_10,2,diagnostic,3.068570633035084,10.665013940991686,4.471963195476276,-0.23691130848596573,-0.2810521968681191
X21,ft,hubert_tsne_3d,tr_10,0,corrected,2.422029232587911,8.74188955227185,7.909495408065168,-0.23587643729026694,-0.28962376256133887
X21,ft,hubert_tsne_3d,tr_10,1,corrected,2.422029232587911,9.00140127060057,7.838400731337045,-0.23683811248953218,-0.2806280726481874
X21,ft,hubert_tsne_3d,tr_10,2,corrected,2.422029232587911,10.631904129751446,4.598672008549714,-0.23698265596785562,-0.28095033011465803
X21,ft,hubert_tsne_3d,tr_12,0,diagnostic,4.106957290989818,8.029647791777245,7.610960203654066,-0.23644822785640748,-0.29001995927043994
X21,ft,hubert_tsne_3d,tr_12,1,diagnostic,3.8430891348891523,8.301422539633595,7.58667160245483,-0.23741673930852467,-0.2809884038707538
X21,ft,hubert_tsne_3d,tr_12,2,diagnostic,4.597133747906291,10.260706667350632,3.7904251416995525,-0.2373159402544545,-0.28158318061007653
X21,ft,hubert_tsne_3d,tr_12,0,corrected,4.182393391261754,8.029470475828377,7.610409883578183,-0.23644720615477702,-0.2900173868966949
X21,ft,hubert_tsne_3d,tr_12,1,corrected,4.182393391261754,8.298144559100399,7.600500833250677,-0.23741295497546216,-0.28095385146934515
X21,ft,hubert_tsne_3d,tr_12,2,corrected,4.182393391261754,10.25536570590394,3.821091665421028,-0.2373352325535204,-0.2815628500992722
X21,ft,hubert_tsne_3d,tr_14,0,diagnostic,2.949688425938255,8.687374931276027,8.145455774389125,-0.23595061471360423,-0.28930802575237285
X21,ft,hubert_tsne_3d,tr_14,1,diagnostic,2.669951162370964,9.021661604632978,7.889102464869231,-0.23685751004846303,-0.28062993584120727
X21,ft,hubert_tsne_3d,tr_14,2,diagnostic,3.840807619535473,10.830509383566568,4.4973312157514505,-0.2367748672054207,-0.28103821827655306
X21,ft,hubert_tsne_3d,tr_14,0,corrected,3.1534824026148978,8.685468428773225,8.147709133913043,-0.23594661206262021,-0.2892883167129138
X21,ft,hubert_tsne_3d,tr_14,1,corrected,3.1534824026148978,9.007616780596852,7.931936727007107,-0.23685290160604594,-0.2805337648177655
X21,ft,hubert_tsne_3d,tr_14,2,corrected,3.1534824026148978,10.805487513938907,4.613309424196053,-0.23683710175340172,-0.28094529593750034
X21,ft,hubert_tsne_3d,tr_16,0,diagnostic,3.3232488683352073,7.829574069983668,8.016144850031699,-0.23662976264417152,-0.289515606653893
X21,ft,hubert_tsne_3d,tr_16,1,diagnostic,2.921513457593317,8.401840996618368,7.404591084714866,-0.23737761510970967,-0.28133276834066473
X21,ft,hubert_tsne_3d,tr_16,2,diagnostic,3.6233365564694267,10.30453638750118,3.855834885158274,-0.23735275776988832,-0.28154436756855405
